Lon Lat Los(m) wt E N U
-117.807639 35.734306 0.169811 1.000000 -0.621404 -0.111131 0.775568
-117.807639 35.716528 0.144775 1.000000 -0.621130 -0.111112 0.775791
-117.807639 35.698750 0.105373 1.000000 -0.620859 -0.111095 0.776010
-117.807639 35.680972 0.088315 1.000000 -0.620590 -0.111077 0.776228
-117.807639 35.663194 0.078701 1.000000 -0.620319 -0.111059 0.776447
-117.807639 35.645417 0.064583 1.000000 -0.620047 -0.111041 0.776667
-117.789861 35.983194 0.023725 1.000000 -0.626809 -0.111542 0.771148
-117.789861 35.965417 0.039617 1.000000 -0.626514 -0.111521 0.771391
-117.789861 35.947639 0.063024 1.000000 -0.626227 -0.111502 0.771626
-117.789861 35.929861 0.091582 1.000000 -0.625882 -0.111472 0.771910
-117.789861 35.912083 0.132166 1.000000 -0.625552 -0.111444 0.772182
-117.789861 35.894306 0.206803 1.000000 -0.625273 -0.111426 0.772410
-117.789861 35.876528 0.255831 1.000000 -0.624969 -0.111403 0.772659
-117.789861 35.858750 0.306667 1.000000 -0.624676 -0.111382 0.772900
-117.789861 35.840972 0.326047 1.000000 -0.624379 -0.111360 0.773143
-117.789861 35.823194 0.328940 1.000000 -0.624083 -0.111338 0.773385
-117.789861 35.805417 0.319069 1.000000 -0.623798 -0.111318 0.773618
-117.789861 35.787639 0.291353 1.000000 -0.623519 -0.111300 0.773845
-117.789861 35.769861 0.260969 1.000000 -0.623240 -0.111281 0.774072
-117.789861 35.752083 0.231325 1.000000 -0.622960 -0.111262 0.774300
-117.789861 35.734306 0.191330 1.000000 -0.622683 -0.111243 0.774526
-117.789861 35.716528 0.162378 1.000000 -0.622410 -0.111225 0.774748
-117.789861 35.698750 0.124732 1.000000 -0.622141 -0.111208 0.774967
-117.789861 35.680972 0.105445 1.000000 -0.621872 -0.111191 0.775185
-117.789861 35.663194 0.090352 1.000000 -0.621603 -0.111173 0.775404
-117.789861 35.645417 0.075478 1.000000 -0.621333 -0.111156 0.775622
-117.789861 35.627639 0.062247 1.000000 -0.621063 -0.111138 0.775841
-117.789861 35.609861 0.047814 1.000000 -0.620791 -0.111120 0.776061
-117.789861 35.592083 0.038148 1.000000 -0.620524 -0.111103 0.776277
-117.789861 35.574306 0.024549 1.000000 -0.620261 -0.111086 0.776489
-117.772083 35.983194 0.029481 1.000000 -0.627941 -0.111627 0.770214
-117.772083 35.965417 0.036723 1.000000 -0.627632 -0.111603 0.770470
-117.772083 35.947639 0.056655 1.000000 -0.627331 -0.111581 0.770718
-117.772083 35.929861 0.082575 1.000000 -0.627010 -0.111556 0.770983
-117.772083 35.912083 0.136726 1.000000 -0.626723 -0.111536 0.771219
-117.772083 35.894306 0.224529 1.000000 -0.626521 -0.111531 0.771383
-117.772083 35.876528 0.323736 1.000000 -0.626231 -0.111511 0.771622
-117.772083 35.858750 0.390139 1.000000 -0.625929 -0.111488 0.771870
-117.772083 35.840972 0.408886 1.000000 -0.625646 -0.111469 0.772102
-117.772083 35.823194 0.396957 1.000000 -0.625344 -0.111447 0.772350
-117.772083 35.805417 0.373442 1.000000 -0.625063 -0.111428 0.772580
-117.772083 35.787639 0.344010 1.000000 -0.624786 -0.111409 0.772807
-117.772083 35.769861 0.302655 1.000000 -0.624513 -0.111392 0.773030
-117.772083 35.752083 0.250320 1.000000 -0.624235 -0.111373 0.773257
-117.772083 35.734306 0.217114 1.000000 -0.623960 -0.111355 0.773482
-117.772083 35.716528 0.176827 1.000000 -0.623688 -0.111338 0.773704
-117.772083 35.698750 0.142282 1.000000 -0.623419 -0.111321 0.773922
-117.772083 35.680972 0.119703 1.000000 -0.623152 -0.111304 0.774140
-117.772083 35.663194 0.103618 1.000000 -0.622883 -0.111287 0.774359
