Lon Lat Los(m) wt E N U
-117.789861 35.929861 -0.068869 1.000000 0.649811 -0.113362 0.751594
-117.789861 35.912083 -0.113170 1.000000 0.649538 -0.113347 0.751833
-117.789861 35.894306 -0.160563 1.000000 0.649270 -0.113334 0.752067
-117.789861 35.876528 -0.208130 1.000000 0.648997 -0.113320 0.752304
-117.789861 35.858750 -0.246891 1.000000 0.648724 -0.113305 0.752541
-117.789861 35.840972 -0.273141 1.000000 0.648449 -0.113290 0.752781
-117.789861 35.823194 -0.280265 1.000000 0.648171 -0.113275 0.753023
-117.789861 35.805417 -0.275454 1.000000 0.647912 -0.113263 0.753248
-117.789861 35.787639 -0.260812 1.000000 0.647655 -0.113251 0.753470
-117.789861 35.769861 -0.243565 1.000000 0.647400 -0.113240 0.753691
-117.789861 35.752083 -0.225134 1.000000 0.647143 -0.113228 0.753913
-117.789861 35.734306 -0.203779 1.000000 0.646890 -0.113216 0.754133
-117.789861 35.716528 -0.182153 1.000000 0.646638 -0.113205 0.754350
-117.789861 35.698750 -0.163545 1.000000 0.646392 -0.113195 0.754562
-117.789861 35.680972 -0.145708 1.000000 0.646145 -0.113185 0.754776
-117.789861 35.663194 -0.125499 1.000000 0.645898 -0.113174 0.754988
-117.789861 35.645417 -0.109061 1.000000 0.645652 -0.113164 0.755200
-117.789861 35.627639 -0.093512 1.000000 0.645404 -0.113153 0.755414
-117.789861 35.609861 -0.077342 1.000000 0.645156 -0.113143 0.755628
-117.789861 35.592083 -0.066364 1.000000 0.644911 -0.113132 0.755838
-117.789861 35.574306 -0.051143 1.000000 0.644670 -0.113123 0.756045
-117.772083 35.983194 0.019253 1.000000 0.649447 -0.113319 0.751916
-117.772083 35.965417 0.000553 1.000000 0.649149 -0.113300 0.752176
-117.772083 35.947639 -0.027544 1.000000 0.648866 -0.113284 0.752422
-117.772083 35.929861 -0.064170 1.000000 0.648547 -0.113262 0.752701
-117.772083 35.912083 -0.111315 1.000000 0.648294 -0.113251 0.752921
-117.772083 35.894306 -0.175772 1.000000 0.648061 -0.113243 0.753122
-117.772083 35.876528 -0.237320 1.000000 0.647801 -0.113231 0.753348
-117.772083 35.858750 -0.285517 1.000000 0.647524 -0.113216 0.753588
-117.772083 35.840972 -0.306594 1.000000 0.647247 -0.113201 0.753828
-117.772083 35.823194 -0.306066 1.000000 0.646972 -0.113186 0.754067
-117.772083 35.805417 -0.297836 1.000000 0.646710 -0.113173 0.754293
-117.772083 35.787639 -0.284043 1.000000 0.646455 -0.113161 0.754514
-117.772083 35.769861 -0.264681 1.000000 0.646200 -0.113150 0.754733
-117.772083 35.752083 -0.243824 1.000000 0.645944 -0.113138 0.754955
-117.772083 35.734306 -0.219508 1.000000 0.645689 -0.113126 0.755174
-117.772083 35.716528 -0.196014 1.000000 0.645437 -0.113115 0.755391
-117.772083 35.698750 -0.177258 1.000000 0.645189 -0.113104 0.755605
-117.772083 35.680972 -0.156256 1.000000 0.644941 -0.113093 0.755818
-117.772083 35.663194 -0.137334 1.000000 0.644693 -0.113083 0.756031
-117.772083 35.645417 -0.117774 1.000000 0.644445 -0.113072 0.756244
-117.772083 35.627639 -0.101263 1.000000 0.644195 -0.113061 0.756459
-117.772083 35.609861 -0.086330 1.000000 0.643946 -0.113050 0.756672
-117.772083 35.592083 -0.071281 1.000000 0.643700 -0.113039 0.756883
-117.772083 35.574306 -0.056096 1.000000 0.643456 -0.113029 0.757092
-117.754306 35.983194 0.029526 1.000000 0.648154 -0.113214 0.753046
-117.754306 35.965417 0.016184 1.000000 0.647863 -0.113197 0.753299
-117.754306 35.947639 -0.004580 1.000000 0.647575 -0.113180 0.753549
-117.754306 35.929861 -0.044015 1.000000 0.647303 -0.113165 0.753786
-117.754306 35.912083 -0.094212 1.000000 0.647048 -0.113154 0.754006
-117.754306 35.894306 -0.174387 1.000000 0.646841 -0.113151 0.754184
-117.754306 35.876528 -0.271662 1.000000 0.646600 -0.113142 0.754392
-117.754306 35.858750 -0.329532 1.000000 0.646320 -0.113126 0.754634
-117.754306 35.840972 -0.349313 1.000000 0.646043 -0.113110 0.754874
-117.754306 35.823194 -0.337019 1.000000 0.645770 -0.113095 0.755110
-117.754306 35.805417 -0.320722 1.000000 0.645508 -0.113082 0.755336
-117.754306 35.787639 -0.305976 1.000000 0.645252 -0.113071 0.755556
-117.754306 35.769861 -0.285994 1.000000 0.644997 -0.113059 0.755775
-117.754306 35.752083 -0.263107 1.000000 0.644741 -0.113047 0.755996
-117.754306 35.734306 -0.238862 1.000000 0.644485 -0.113034 0.756216
-117.754306 35.716528 -0.213899 1.000000 0.644232 -0.113023 0.756433
-117.754306 35.698750 -0.191972 1.000000 0.643983 -0.113012 0.756647
-117.754306 35.680972 -0.168172 1.000000 0.643734 -0.113001 0.756861
-117.754306 35.663194 -0.148286 1.000000 0.643483 -0.112989 0.757075
-117.754306 35.645417 -0.130071 1.000000 0.643233 -0.112978 0.757289
-117.754306 35.627639 -0.112200 1.000000 0.642983 -0.112967 0.757503
-117.754306 35.609861 -0.094425 1.000000 0.642733 -0.112955 0.757717
-117.754306 35.592083 -0.076199 1.000000 0.642486 -0.112944 0.757929
-117.754306 35.574306 -0.058968 1.000000 0.642239 -0.112934 0.758139
-117.754306 35.556528 -0.042339 1.000000 0.641994 -0.112923 0.758348
-117.754306 35.538750 -0.026606 1.000000 0.641751 -0.112912 0.758556
-117.736528 35.983194 0.044044 1.000000 0.646962 -0.113127 0.754084
-117.736528 35.965417 0.030768 1.000000 0.646668 -0.113108 0.754339
-117.736528 35.947639 0.023306 1.000000 0.646380 -0.113091 0.754588
-117.736528 35.929861 -0.001906 1.000000 0.646112 -0.113077 0.754820
-117.736528 35.912083 -0.076039 1.000000 0.645851 -0.113065 0.755045
-117.736528 35.894306 -0.149820 1.000000 0.645612 -0.113056 0.755250
-117.736528 35.876528 -0.285229 1.000000 0.645388 -0.113049 0.755443
-117.736528 35.858750 -0.353692 1.000000 0.645135 -0.113038 0.755661
-117.736528 35.840972 -0.374023 1.000000 0.644847 -0.113020 0.755909
-117.736528 35.823194 -0.365374 1.000000 0.644564 -0.113004 0.756153
-117.736528 35.805417 -0.346165 1.000000 0.644303 -0.112991 0.756377
-117.736528 35.787639 -0.330941 1.000000 0.644047 -0.112979 0.756597
-117.736528 35.769861 -0.308263 1.000000 0.643790 -0.112966 0.756818
-117.736528 35.752083 -0.286728 1.000000 0.643532 -0.112954 0.757039
-117.736528 35.734306 -0.261878 1.000000 0.643275 -0.112942 0.757259
-117.736528 35.716528 -0.235055 1.000000 0.643021 -0.112930 0.757477
-117.736528 35.698750 -0.209596 1.000000 0.642770 -0.112918 0.757692
-117.736528 35.680972 -0.183378 1.000000 0.642519 -0.112907 0.757906
-117.736528 35.663194 -0.161090 1.000000 0.642268 -0.112895 0.758121
-117.736528 35.645417 -0.140730 1.000000 0.642015 -0.112883 0.758336
-117.736528 35.627639 -0.120826 1.000000 0.641763 -0.112871 0.758551
-117.736528 35.609861 -0.099530 1.000000 0.641517 -0.112860 0.758761
-117.736528 35.592083 -0.080938 1.000000 0.641269 -0.112849 0.758972
-117.736528 35.574306 -0.061280 1.000000 0.641027 -0.112839 0.759178
-117.736528 35.556528 -0.042681 1.000000 0.640787 -0.112829 0.759382
-117.736528 35.538750 -0.024972 1.000000 0.640535 -0.112817 0.759597
-117.718750 35.947639 0.036734 1.000000 0.645188 -0.113003 0.755620
-117.718750 35.929861 0.030223 1.000000 0.644922 -0.112989 0.755850
-117.718750 35.912083 -0.022044 1.000000 0.644655 -0.112976 0.756079
-117.718750 35.894306 -0.122812 1.000000 0.644395 -0.112963 0.756303
-117.718750 35.876528 -0.276347 1.000000 0.644173 -0.112957 0.756493
-117.718750 35.858750 -0.359550 1.000000 0.643938 -0.112948 0.756695
-117.718750 35.840972 -0.384867 1.000000 0.643642 -0.112929 0.756949
-117.718750 35.823194 -0.382609 1.000000 0.643355 -0.112912 0.757195
-117.718750 35.805417 -0.372624 1.000000 0.643094 -0.112899 0.757419
-117.718750 35.787639 -0.366001 1.000000 0.642837 -0.112886 0.757639
-117.718750 35.769861 -0.335015 1.000000 0.642579 -0.112873 0.757860
-117.718750 35.752083 -0.311440 1.000000 0.642320 -0.112861 0.758081
-117.718750 35.734306 -0.283991 1.000000 0.642062 -0.112848 0.758302
-117.718750 35.716528 -0.255101 1.000000 0.641805 -0.112835 0.758521
-117.718750 35.698750 -0.225226 1.000000 0.641552 -0.112823 0.758737
-117.718750 35.680972 -0.199078 1.000000 0.641301 -0.112811 0.758951
-117.718750 35.663194 -0.174934 1.000000 0.641048 -0.112799 0.759166
-117.718750 35.645417 -0.150714 1.000000 0.640794 -0.112787 0.759383
-117.718750 35.627639 -0.130416 1.000000 0.640539 -0.112775 0.759600
-117.718750 35.609861 -0.108118 1.000000 0.640292 -0.112763 0.759810
-117.718750 35.592083 -0.085823 1.000000 0.640044 -0.112752 0.760020
-117.718750 35.574306 -0.063437 1.000000 0.639811 -0.112743 0.760218
-117.718750 35.556528 -0.042081 1.000000 0.639587 -0.112736 0.760407
-117.718750 35.538750 -0.024048 1.000000 0.639328 -0.112722 0.760627
-117.700972 35.947639 0.044982 1.000000 0.644000 -0.112915 0.756646
-117.700972 35.929861 0.032732 1.000000 0.643734 -0.112901 0.756875
-117.700972 35.912083 -0.000754 1.000000 0.643461 -0.112886 0.757109
-117.700972 35.894306 -0.064458 1.000000 0.643188 -0.112871 0.757344
-117.700972 35.876528 -0.265945 1.000000 0.642957 -0.112863 0.757541
-117.700972 35.858750 -0.359105 1.000000 0.642730 -0.112856 0.757735
-117.700972 35.840972 -0.391735 1.000000 0.642430 -0.112836 0.757992
-117.700972 35.823194 -0.404564 1.000000 0.642145 -0.112819 0.758236
-117.700972 35.805417 -0.398993 1.000000 0.641882 -0.112805 0.758460
-117.700972 35.787639 -0.395857 1.000000 0.641624 -0.112792 0.758681
-117.700972 35.769861 -0.369475 1.000000 0.641365 -0.112779 0.758902
-117.700972 35.752083 -0.342878 1.000000 0.641105 -0.112766 0.759123
-117.700972 35.734306 -0.310033 1.000000 0.640846 -0.112753 0.759344
-117.700972 35.716528 -0.276909 1.000000 0.640586 -0.112740 0.759565
-117.700972 35.698750 -0.242254 1.000000 0.640331 -0.112727 0.759782
-117.700972 35.680972 -0.214244 1.000000 0.640079 -0.112715 0.759996
-117.700972 35.663194 -0.188655 1.000000 0.639824 -0.112702 0.760213
-117.700972 35.645417 -0.165609 1.000000 0.639568 -0.112690 0.760430
-117.700972 35.627639 -0.143520 1.000000 0.639311 -0.112677 0.760648
-117.700972 35.609861 -0.119640 1.000000 0.639059 -0.112665 0.760861
-117.700972 35.592083 -0.091900 1.000000 0.638811 -0.112653 0.761072
-117.700972 35.574306 -0.066170 1.000000 0.638590 -0.112646 0.761258
-117.700972 35.556528 -0.043242 1.000000 0.638394 -0.112643 0.761423
-117.700972 35.538750 -0.025796 1.000000 0.638129 -0.112629 0.761647
-117.683194 35.912083 0.022051 1.000000 0.642286 -0.112799 0.758119
-117.683194 35.894306 -0.000258 1.000000 0.642000 -0.112782 0.758364
-117.683194 35.876528 0.010922 1.000000 0.641741 -0.112769 0.758586
-117.683194 35.858750 -0.344584 1.000000 0.641490 -0.112758 0.758799
-117.683194 35.840972 -0.435044 1.000000 0.641206 -0.112740 0.759042
-117.683194 35.823194 -0.438679 1.000000 0.640927 -0.112724 0.759280
-117.683194 35.805417 -0.445744 1.000000 0.640665 -0.112710 0.759503
-117.683194 35.787639 -0.445822 1.000000 0.640406 -0.112697 0.759724
-117.683194 35.769861 -0.418612 1.000000 0.640146 -0.112684 0.759944
-117.683194 35.752083 -0.374511 1.000000 0.639885 -0.112670 0.760166
-117.683194 35.734306 -0.340181 1.000000 0.639625 -0.112657 0.760387
-117.683194 35.716528 -0.303270 1.000000 0.639363 -0.112643 0.760609
-117.683194 35.698750 -0.260937 1.000000 0.639105 -0.112630 0.760828
-117.683194 35.680972 -0.227860 1.000000 0.638851 -0.112617 0.761043
-117.683194 35.663194 -0.203648 1.000000 0.638595 -0.112604 0.761260
-117.683194 35.645417 -0.181273 1.000000 0.638338 -0.112591 0.761477
-117.683194 35.627639 -0.159478 1.000000 0.638079 -0.112578 0.761696
-117.683194 35.609861 -0.131889 1.000000 0.637821 -0.112564 0.761914
-117.683194 35.592083 -0.100920 1.000000 0.637572 -0.112552 0.762125
-117.683194 35.574306 -0.070160 1.000000 0.637349 -0.112545 0.762313
-117.683194 35.556528 -0.044838 1.000000 0.637147 -0.112541 0.762482
-117.683194 35.538750 -0.025055 1.000000 0.636911 -0.112532 0.762680
-117.665417 35.912083 0.027869 1.000000 0.641103 -0.112711 0.759133
-117.665417 35.894306 0.005951 1.000000 0.640810 -0.112692 0.759383
-117.665417 35.876528 0.130333 1.000000 0.640530 -0.112675 0.759622
-117.665417 35.858750 0.167374 1.000000 0.640259 -0.112660 0.759853
-117.665417 35.840972 -0.537444 1.000000 0.639983 -0.112644 0.760087
-117.665417 35.823194 -0.529356 1.000000 0.639709 -0.112629 0.760321
-117.665417 35.805417 -0.530569 1.000000 0.639445 -0.112614 0.760545
-117.665417 35.787639 -0.517438 1.000000 0.639184 -0.112601 0.760766
-117.665417 35.769861 -0.507136 1.000000 0.638923 -0.112587 0.760987
-117.665417 35.752083 -0.417517 1.000000 0.638662 -0.112574 0.761208
-117.665417 35.734306 -0.393928 1.000000 0.638399 -0.112559 0.761431
-117.665417 35.716528 -0.335157 1.000000 0.638137 -0.112545 0.761652
-117.665417 35.698750 -0.290888 1.000000 0.637877 -0.112532 0.761873
-117.665417 35.680972 -0.251736 1.000000 0.637620 -0.112519 0.762089
-117.665417 35.663194 -0.223647 1.000000 0.637363 -0.112505 0.762306
-117.665417 35.645417 -0.199877 1.000000 0.637104 -0.112492 0.762524
-117.665417 35.627639 -0.174283 1.000000 0.636844 -0.112478 0.762744
-117.665417 35.609861 -0.145335 1.000000 0.636584 -0.112464 0.762963
-117.665417 35.592083 -0.109193 1.000000 0.636336 -0.112452 0.763172
-117.665417 35.574306 -0.072868 1.000000 0.636109 -0.112444 0.763362
-117.665417 35.556528 -0.046256 1.000000 0.635914 -0.112441 0.763525
-117.665417 35.538750 -0.024677 1.000000 0.635697 -0.112434 0.763707
-117.647639 35.912083 0.048369 1.000000 0.639906 -0.112620 0.760156
-117.647639 35.894306 0.074718 1.000000 0.639616 -0.112601 0.760402
-117.647639 35.876528 0.120690 1.000000 0.639328 -0.112583 0.760647
-117.647639 35.858750 0.195815 1.000000 0.639044 -0.112566 0.760889
-117.647639 35.840972 0.281518 1.000000 0.638765 -0.112549 0.761126
-117.647639 35.823194 -0.609467 1.000000 0.638490 -0.112533 0.761359
-117.647639 35.805417 -0.657000 1.000000 0.638222 -0.112518 0.761586
-117.647639 35.787639 -0.646084 1.000000 0.637959 -0.112504 0.761808
-117.647639 35.769861 -0.588366 1.000000 0.637697 -0.112490 0.762029
-117.647639 35.752083 -0.481116 1.000000 0.637434 -0.112475 0.762251
-117.647639 35.734306 -0.421505 1.000000 0.637170 -0.112461 0.762474
-117.647639 35.716528 -0.361746 1.000000 0.636907 -0.112447 0.762696
-117.647639 35.698750 -0.321325 1.000000 0.636645 -0.112432 0.762917
-117.647639 35.680972 -0.298044 1.000000 0.636386 -0.112419 0.763135
-117.647639 35.663194 -0.249756 1.000000 0.636128 -0.112405 0.763352
-117.647639 35.645417 -0.222196 1.000000 0.635868 -0.112391 0.763571
-117.647639 35.627639 -0.197073 1.000000 0.635605 -0.112377 0.763792
-117.647639 35.609861 -0.164808 1.000000 0.635348 -0.112363 0.764008
