# Name lon lat v_east v_north v_up e_east e_north e_up 
MERC 244.02100000000002 36.6325 -0.00313 -0.00085 -0.00403 1.0 1.0 1.732 
MHMS 241.7559 33.9391 -0.00377 0.00509 0.00225 1.0 1.0 1.732 
MIDA 239.5412 35.9219 -0.00822 0.00237 -0.00025 1.0 1.0 1.732 
MINS 240.9391 37.6538 -0.00628 0.00025 0.00273 1.0 1.0 1.732 
MJPK 242.4495 33.7145 -0.00672 0.00397 -0.00048 1.0 1.0 1.732 
MLFP 242.68200000000002 33.9184 -0.00415 0.00462 0.00375 1.0 1.0 1.732 
MNMC 239.5659 35.9695 -0.00892 0.00063 -0.00233 1.0 1.0 1.732 
MPWD 241.122 34.2955 -0.00729 0.0028 -0.00472 1.0 1.0 1.732 
MSOB 242.7899 34.2308 -0.00207 0.01006 0.02369 1.0 1.0 1.732 
MTGG 243.3528 33.1992 -0.00404 0.00401 0.01153 1.0 1.0 1.732 
MULN 239.9084 36.5651 -0.00709 0.002 -0.00175 1.0 1.0 1.732 
MUSB 240.69060000000002 37.1699 -0.00678 0.00039 0.0059 1.0 1.0 1.732 
MVFD 243.47469999999998 33.2109 -0.00846 0.00193 -0.0067 1.0 1.0 1.732 
MWTP 241.0553 37.6405 -0.00574 -0.00227 -0.00036 1.0 1.0 1.732 
NDAP 245.38139999999999 34.7677 -0.00222 0.0015 0.00186 1.0 1.0 1.732 
NHRG 240.8587 34.4987 -0.00646 0.00242 0.00356 1.0 1.0 1.732 
NOCO 242.43040000000002 33.9197 -0.00675 0.00461 0.00431 1.0 1.0 1.732 
NOPK 241.652 33.9797 -0.00502 0.00396 0.00238 1.0 1.0 1.732 
OAES 243.9323 34.141 -0.00283 0.00149 0.00057 1.0 1.0 1.732 
OCSD 242.6533 33.2407 -0.00517 0.00377 0.00061 1.0 1.0 1.732 
OEOC 242.2559 33.7659 -0.00835 0.00407 0.00315 1.0 1.0 1.732 
ORES 239.72140000000002 34.7391 -0.00731 0.00126 -0.00656 1.0 1.0 1.732 
ORMT 243.1849 34.6749 -0.00151 0.00488 0.00494 1.0 1.0 1.732 
OVLS 240.85809999999998 34.3274 -0.00719 0.00325 -0.00273 1.0 1.0 1.732 
OZST 240.6466 34.6834 -0.00754 0.0012 0.00244 1.0 1.0 1.732 
P006 245.54309999999998 36.1542 -0.00442 0.00153 -0.00441 1.0 1.0 1.732 
P056 240.9371 36.0274 -0.01495 0.00163 -0.00391 1.0 1.0 1.732 
P091 242.4685 36.6143 -0.00723 -0.02353 0.00274 1.0 1.0 1.732 
P092 242.5932 36.8042 -0.00749 -0.01292 0.00339 1.0 1.0 1.732 
P093 242.0059 36.606 -0.00607 -0.01157 0.00303 1.0 1.0 1.732 
P094 242.29579999999999 37.2008 -0.00505 -0.00632 -0.00153 1.0 1.0 1.732 
P245 240.2939 37.7131 -0.00651 -0.00023 0.00591 1.0 1.0 1.732 
P280 239.6524 35.5441 -0.00756 0.0011 -0.00024 1.0 1.0 1.732 
P281 239.6105 35.8411 -0.00624 0.00077 0.00042 1.0 1.0 1.732 
P282 239.6548 35.8378 -0.00788 -0.00025 0.00337 1.0 1.0 1.732 
P283 239.7147 35.8067 -0.00705 0.0009 0.00098 1.0 1.0 1.732 
P284 239.0932 35.9333 -0.00608 0.00285 -0.00422 1.0 1.0 1.732 
P285 239.01850000000002 36.4172 -0.00679 0.00125 0.00346 1.0 1.0 1.732 
P287 239.3022 36.0248 -0.00806 0.00231 -0.00226 1.0 1.0 1.732 
P288 239.1211 36.1402 -0.00535 -0.0005 0.00169 1.0 1.0 1.732 
P289 239.25119999999998 36.1068 -0.00705 0.00116 -0.00482 1.0 1.0 1.732 
P290 239.2717 36.1789 -0.00734 -0.00033 0.00294 1.0 1.0 1.732 
P291 239.3552 35.9228 -0.0066 9e-05 0.00663 1.0 1.0 1.732 
P292 239.5247 36.0075 -0.00912 0.0019 0.00504 1.0 1.0 1.732 
P293 239.457 36.0894 -0.00694 0.00042 0.00218 1.0 1.0 1.732 
P294 239.5601 36.1232 -0.00753 0.00233 -0.00172 1.0 1.0 1.732 
P295 239.1576 35.6971 -0.00712 0.00085 -0.00105 1.0 1.0 1.732 
P296 239.63639999999998 36.0517 -0.00715 0.00429 0.01035 1.0 1.0 1.732 
P297 239.4481 35.9741 -0.00684 0.00018 -0.0002 1.0 1.0 1.732 
P298 239.70589999999999 36.0158 -0.0071 0.00147 0.00323 1.0 1.0 1.732 
P299 239.2898 36.2568 -0.00716 -0.00031 -0.00018 1.0 1.0 1.732 
P300 239.723 36.3044 -0.00703 -1e-05 0.00298 1.0 1.0 1.732 
P301 239.2569 36.8063 -0.0065 0.00041 0.00316 1.0 1.0 1.732 
P302 239.38139999999999 36.6347 -0.00763 -0.00096 0.00568 1.0 1.0 1.732 
