Sta Lon Lat de(m) dn(m) du(m) sde(m) sdn(m) sdu(m)
P616 -117.893300 35.424600 -0.010120 0.041240 0.000760 1 1 1.732000
P617 -116.571600 35.320600 0.010010 -0.001290 0.001490 1 1 1.732000
P618 -116.103900 35.141900 -0.000090 0.000050 -0.008500 1 1 1.732000
P619 -116.121800 35.525900 0.005270 0.001220 -0.003120 1 1 1.732000
P621 -115.543900 35.472800 -0.001600 -0.000670 -0.001210 1 1 1.732000
P623 -114.599400 34.188900 -0.003100 0.003260 -0.008400 1 1 1.732000
P625 -114.965100 34.844400 -0.004150 0.001530 -0.000790 1 1 1.732000
P626 -115.238300 35.291100 -0.004300 0.003060 -0.014930 1 1 1.732000
P627 -118.378500 37.973100 -0.005760 0.000060 0.005510 1 1 1.732000
P629 -119.179400 37.375900 -0.007100 0.001910 0.004020 1 1 1.732000
P630 -119.000400 37.613000 -0.005310 -0.000760 0.003080 1 1 1.732000
P631 -118.915900 37.605300 -0.006040 -0.000400 -0.000060 1 1 1.732000
P632 -119.086100 37.785700 -0.005680 0.000670 0.006180 1 1 1.732000
P635 -119.138000 37.839300 -0.006050 0.001210 -0.003400 1 1 1.732000
P638 -118.943500 37.734300 -0.005200 0.000390 0.000090 1 1 1.732000
P639 -118.868700 37.654600 -0.006170 -0.000710 -0.001010 1 1 1.732000
P641 -118.851900 37.878200 -0.003750 -0.002930 0.003070 1 1 1.732000
P642 -118.816700 37.591400 -0.005200 -0.000990 0.001460 1 1 1.732000
P643 -118.698200 37.561600 -0.004450 -0.000630 0.003370 1 1 1.732000
P646 -118.820000 37.677000 -0.005170 -0.000900 0.004100 1 1 1.732000
P647 -118.767700 37.754400 -0.005300 -0.000690 0.004340 1 1 1.732000
P648 -119.019200 37.800000 -0.006200 0.000620 0.005890 1 1 1.732000
P649 -118.736200 37.903500 -0.006240 -0.001700 0.005980 1 1 1.732000
P650 -118.554900 37.891300 -0.004950 -0.000110 -0.002000 1 1 1.732000
P651 -118.387000 37.563100 -0.004730 -0.001630 0.005270 1 1 1.732000
P652 -118.238500 37.589200 -0.004300 -0.001910 0.003990 1 1 1.732000
P653 -118.471700 37.737500 -0.004430 -0.002280 0.004030 1 1 1.732000
P724 -118.561100 37.439500 -0.004810 -0.001500 -0.003370 1 1 1.732000
P725 -119.745600 37.088900 -0.006410 0.000110 0.009550 1 1 1.732000
P726 -118.146700 37.280500 -0.005470 -0.003620 0.003820 1 1 1.732000
P727 -118.466800 37.273600 -0.004880 -0.003120 0.000550 1 1 1.732000
P729 -119.096100 34.263100 -0.005800 0.003850 -0.001370 1 1 1.732000
P742 -116.602600 33.495500 -0.001800 0.002000 0.009350 1 1 1.732000
P789 -120.471700 35.946600 -0.006540 0.001990 -0.001700 1 1 1.732000
P790 -120.515400 35.929100 -0.006940 0.003000 0.000650 1 1 1.732000
P795 -116.148100 34.508100 -0.003550 0.003580 -0.002680 1 1 1.732000
P797 -116.592500 33.537300 -0.003980 0.004310 0.003330 1 1 1.732000
P799 -118.306300 33.927600 -0.006390 0.003790 0.010720 1 1 1.732000
P800 -118.349100 34.021700 -0.005830 0.004510 0.005210 1 1 1.732000
P808 -118.621500 34.836000 -0.007220 0.005100 -0.001780 1 1 1.732000
P809 -119.236800 35.743900 -0.016190 0.000170 -0.014240 1 1 1.732000
P810 -119.236700 35.744000 -0.008060 0.004230 -0.002740 1 1 1.732000
P811 -118.016600 35.152400 -0.004110 0.019540 0.004930 1 1 1.732000
P812 -118.016500 35.152500 -0.002700 0.017900 -0.003210 1 1 1.732000
PALG -117.031800 33.389000 -0.005770 0.003020 -0.006580 1 1 1.732000
PBPP -117.922600 34.508200 -0.005300 0.009000 0.012400 1 1 1.732000
PEA1 -120.758600 36.186900 -0.008100 -0.000160 -0.000500 1 1 1.732000
PEA2 -120.766800 36.180500 -0.008150 0.000390 -0.006240 1 1 1.732000
PKDB -120.541600 35.945200 -0.007550 0.003960 -0.012660 1 1 1.732000
PKRD -118.232900 34.071600 -0.005440 0.008820 0.008040 1 1 1.732000
PMOB -116.859500 33.357200 -0.009170 0.002830 0.033250 1 1 1.732000
PMTN -119.056900 37.831400 -0.007420 0.000450 -0.000180 1 1 1.732000
POBG -116.923700 33.687100 -0.005220 0.003370 -0.002950 1 1 1.732000
POMM -120.478400 35.919900 -0.008020 0.002410 0.001150 1 1 1.732000
PPBF -117.182100 33.835700 -0.006430 0.003640 -0.003340 1 1 1.732000
PSDM -117.807100 34.091800 -0.005830 0.004350 -0.001000 1 1 1.732000
PVHS -118.372200 33.779500 -0.004870 0.003150 0.004580 1 1 1.732000
PVRS -118.320600 33.773900 -0.006470 0.007400 0.004750 1 1 1.732000
QHTP -118.244800 34.628700 -0.006140 0.006920 0.008640 1 1 1.732000
RAAP -116.917200 33.042200 -0.007960 0.003240 -0.009660 1 1 1.732000
RAMT -117.683300 35.338700 0.007410 0.088130 0.004410 1 1 1.732000
RAPT -119.448700 36.664900 -0.008590 0.000450 0.000040 1 1 1.732000
RBRU -119.828700 36.759100 -0.005490 0.000450 0.005820 1 1 1.732000
RCA2 -119.720000 34.500000 -0.008110 0.001260 0.005590 1 1 1.732000
RCSC -117.586500 33.444100 -0.004940 0.004040 -0.006100 1 1 1.732000
RDMT -116.624700 34.643900 -0.003440 0.004150 -0.001100 1 1 1.732000
RDOM -118.897900 37.677100 -0.005410 -0.000370 0.007080 1 1 1.732000
REPO -116.468300 36.840400 -0.005160 -0.002760 0.002640 1 1 1.732000
RHCG -118.013400 34.000900 -0.005630 0.003960 0.003930 1 1 1.732000
RHCL -118.026200 34.019100 -0.005660 0.005910 -0.003160 1 1 1.732000
RKMG -117.609400 33.674100 -0.005200 0.003570 0.000250 1 1 1.732000
RMVJ -117.555300 33.485800 -0.004630 0.003560 0.000300 1 1 1.732000
RNCH -120.524800 35.900000 -0.009540 0.000360 0.003470 1 1 1.732000
RSTP -118.192900 34.875100 -0.005440 0.011000 -0.005070 1 1 1.732000
RTHS -117.353300 34.089100 -0.006380 0.006570 0.003410 1 1 1.732000
SACY -117.895600 33.743200 -0.008060 0.002710 0.004300 1 1 1.732000
SAWC -118.953200 37.689900 -0.006120 -0.001580 0.005290 1 1 1.732000
SBCC -117.661500 33.553000 -0.006510 0.005230 -0.004580 1 1 1.732000
SCIA -117.388300 34.607400 -0.005700 0.010680 0.003610 1 1 1.732000
SGPS -116.695700 33.912500 -0.010700 0.006180 0.010480 1 1 1.732000
SHN5 -120.347100 35.674200 -0.008120 0.000600 0.002310 1 1 1.732000
SHP5 -120.671300 35.268600 -0.006760 -0.001330 0.003240 1 1 1.732000
SHRC -118.945600 37.624900 -0.006300 -0.000370 0.000380 1 1 1.732000
SILK -118.263900 34.102900 -0.003430 0.006890 0.004770 1 1 1.732000
SIMM -119.997800 35.351100 -0.008540 0.004970 -0.004750 1 1 1.732000
SKYB -118.478600 34.438600 -0.004740 0.006480 0.005040 1 1 1.732000
SLMS -115.977800 33.292200 -0.006730 0.001050 -0.005870 1 1 1.732000
SNHS -117.928600 33.927300 -0.007960 0.002290 0.017020 1 1 1.732000
SOMT -119.064300 34.319900 -0.006390 0.002440 -0.004260 1 1 1.732000
SONG -117.560300 33.380700 -0.005830 0.004600 0.004920 1 1 1.732000
SPMS -117.848800 33.992700 -0.005640 0.005820 0.002360 1 1 1.732000
SRS1 -120.065200 34.004300 -0.006630 0.001880 0.001380 1 1 1.732000
SYNG -120.069600 34.607200 -0.008010 0.001470 0.005550 1 1 1.732000
TAFT -119.485200 35.156500 -0.009430 0.000710 -0.003800 1 1 1.732000
TBLP -120.360300 35.917400 -0.006790 0.000670 -0.001810 1 1 1.732000
TEHA -118.469800 35.143100 -0.008450 0.004940 0.007370 1 1 1.732000
THCP -118.414600 35.158200 -0.009590 0.005300 0.002210 1 1 1.732000
THMG -116.077200 33.650600 -0.003850 0.000550 0.004910 1 1 1.732000
THMS -117.766800 33.549600 -0.004760 0.003750 -0.007740 1 1 1.732000
TILC -118.862900 37.618900 -0.006080 -0.001940 0.005610 1 1 1.732000
TIVA -116.229700 36.934800 -0.005320 -0.001130 -0.004400 1 1 1.732000
TJRN -120.132600 34.483500 -0.005660 0.001780 0.000690 1 1 1.732000
TOST -118.836700 34.248000 -0.004400 0.003760 -0.000030 1 1 1.732000
TPOG -118.228600 34.878900 -0.004350 0.009210 0.006410 1 1 1.732000
TRLK -120.828600 37.466600 -0.006910 0.001090 -0.004300 1 1 1.732000
USC2 -118.277400 34.019500 -0.004910 0.005200 0.008840 1 1 1.732000
USGC -116.085300 33.030100 -0.005030 0.002500 -0.010500 1 1 1.732000
USLO -120.661100 35.311800 -0.007570 0.001550 0.005300 1 1 1.732000
VDCY -118.220000 34.178600 -0.004650 0.005360 0.001400 1 1 1.732000
VIMT -118.514400 34.126400 -0.004750 0.003920 0.001400 1 1 1.732000
VINZ -118.939000 34.962400 -0.010120 0.002470 0.002860 1 1 1.732000
VNCO -119.237700 34.275800 -0.006110 0.003090 -0.003090 1 1 1.732000
VNCX -118.484500 34.293200 -0.006010 0.005180 0.000850 1 1 1.732000
VNPS -118.121200 34.501500 -0.004880 0.009740 0.006410 1 1 1.732000
VTIS -118.293800 33.712600 -0.005540 0.001310 0.007040 1 1 1.732000
VTOR -117.193200 33.225000 -0.005720 0.003850 0.000760 1 1 1.732000
WASG -118.557000 35.738400 -0.034320 -0.002330 0.011830 1 1 1.732000
WATC -118.653900 37.664300 -0.005370 -0.001570 0.005430 1 1 1.732000
WCHS -117.911100 34.061900 -0.005920 0.005380 -0.002330 1 1 1.732000
WGPP -118.983700 35.010800 -0.009930 0.001140 0.002360 1 1 1.732000
WHFG -118.352000 35.695100 -0.042540 0.001900 -0.005180 1 1 1.732000
WHYT -117.643500 33.674500 -0.007200 0.005050 0.007790 1 1 1.732000
WIDC -116.391800 33.934800 -0.002250 0.002080 -0.005040 1 1 1.732000
WKPK -118.741500 34.568500 -0.004830 0.006390 -0.002800 1 1 1.732000
WMAP -118.414300 34.259400 -0.004930 0.004450 -0.000640 1 1 1.732000
WMDG -115.581900 33.038300 -0.004600 0.000470 0.003410 1 1 1.732000
WNRA -118.059300 34.043200 -0.005220 0.005650 -0.006300 1 1 1.732000
WOMT -116.931700 34.669000 -0.005970 0.006100 0.005010 1 1 1.732000
WORG -118.242400 35.695600 -0.058280 -0.001890 0.000410 1 1 1.732000
WRHS -118.427600 33.958200 -0.007000 0.005040 0.004290 1 1 1.732000
WWFG -115.578800 33.278800 -0.004330 0.001510 -0.000990 1 1 1.732000
WWMT -116.653900 33.955300 -0.009620 0.002570 0.009800 1 1 1.732000
ZLA1 -118.083900 34.603500 -0.005760 0.007840 -0.003490 1 1 1.732000
